date,sentiment_score
2013-01-29,0.2662137931034483
2013-01-30,0.2582
2013-01-31,0.23843999999999999
2013-02-01,0.1751913043478261
2013-02-03,0.1806
2013-02-04,0.31559333333333334
2013-02-05,0.3533917431192661
2013-02-06,0.3328173553719008
2013-02-07,0.27280163934426227
2013-02-08,0.32020000000000004
2013-02-09,0.3536
2013-02-10,0.46197999999999995
2013-02-11,0.3973521739130435
2013-02-12,0.24625
2013-02-13,0.34473846153846155
2013-02-14,0.26599504132231405
2013-02-15,0.1947493670886076
2013-02-16,0.5019
2013-02-17,0.5019
2013-02-18,0.34933333333333333
2013-02-19,0.36424597701149425
2013-02-20,0.34296461538461537
2013-02-21,0.28042807017543864
2013-02-22,0.22426274509803923
2013-02-23,0.4236333333333333
2013-02-24,0.31915454545454547
2013-02-25,0.18673166666666668
2013-02-26,0.21379139784946236
2013-02-27,0.35822783505154643
2013-02-28,0.253375
2013-03-01,0.2893014285714286
2013-03-02,0.4553962962962963
2013-03-03,0.34288676470588236
2013-03-04,0.2099
2013-03-05,0.47176315789473683
2013-03-06,0.4032255813953488
2013-03-07,0.4351595744680851
2013-03-08,0.35124761904761903
2013-03-09,0.0
2013-03-10,0.16802068965517242
2013-03-11,0.2483591836734694
2013-03-12,0.32390416666666666
2013-03-13,0.3366
2013-03-14,0.08335925925925926
2013-03-15,0.10166122448979592
2013-03-16,0.58429
2013-03-17,0.5011417910447762
2013-03-18,0.16417387387387386
2013-03-19,0.204152
2013-03-20,0.3366043956043956
2013-03-21,0.12595
2013-03-22,0.18535348837209303
2013-03-23,0.43405217391304346
2013-03-24,0.46572727272727277
2013-03-25,0.20010281690140846
2013-03-26,0.030063461538461546
2013-03-27,0.3432408450704226
2013-03-28,0.5267395061728395
2013-03-29,0.3970681818181818
2013-03-30,0.15355555555555556
2013-03-31,0.39533428571428575
2013-04-01,0.30155196078431373
2013-04-02,0.22129696969696971
2013-04-03,0.10444871794871795
2013-04-04,0.5498352941176471
2013-04-05,0.2479
2013-04-06,0.44541111111111115
2013-04-07,0.28207121212121217
2013-04-08,0.3432212121212121
2013-04-09,0.24658666666666665
2013-04-10,0.3854829268292683
2013-04-11,0.4084361111111111
2013-04-12,0.05596363636363637
2013-04-13,0.3988305555555555
2013-04-14,0.46173972602739727
2013-04-15,0.39664677419354843
2013-04-16,0.10901904761904761
2013-04-17,0.2722620253164557
2013-04-18,0.21797719298245613
2013-04-19,0.10473939393939394
2013-04-20,0.2084406779661017
2013-04-21,0.082471875
2013-04-22,0.13861648351648354
2013-04-23,-0.18994324324324324
2013-04-24,0.03363484848484848
2013-04-25,0.0037891304347826113
2013-04-26,0.3024763888888889
2013-04-27,0.5393021739130435
2013-04-28,0.4923161290322581
2013-04-29,0.19561354166666667
2013-04-30,0.29552833333333334
2013-05-01,0.2567558441558441
2013-05-02,0.044205084745762714
2013-05-03,0.1310189189189189
2013-05-05,0.27843333333333337
2013-05-06,0.34005238095238094
2013-05-07,0.005237735849056604
2013-05-08,0.20074874999999998
2013-05-09,0.07877586206896552
2013-05-10,0.2811961538461539
2013-05-11,0.09272105263157894
2013-05-12,0.46269166666666667
2013-05-13,0.35835357142857144
2013-05-14,0.23749333333333336
2013-05-15,0.19357058823529413
2013-05-16,0.2915041666666667
2013-05-17,-0.03641379310344828
2013-05-18,0.2068125
2013-05-19,0.18040526315789476
2013-05-20,0.6815081081081081
2013-05-21,0.30596428571428574
2013-05-22,0.07004745762711866
2013-05-23,0.2024758064516129
2013-05-24,0.13156666666666667
2013-05-25,0.09119435483870968
2013-05-26,0.1298046511627907
2013-05-27,0.24944722222222224
2013-05-28,0.1431012048192771
2013-05-29,0.3755047619047619
2013-05-30,0.3765831460674158
2013-05-31,0.41892500000000005
2013-06-01,0.49310000000000004
2013-06-02,0.78945
2013-06-03,0.4823603448275862
2013-06-04,0.25120000000000003
2013-06-05,0.30862527472527473
2013-06-06,0.44770000000000004
2013-06-07,0.42622857142857146
2013-06-08,0.5119666666666667
2013-06-10,0.15564827586206895
2013-06-11,0.27762745098039215
2013-06-12,0.19938082191780823
2013-06-13,0.3278711111111111
2013-06-14,0.30488461538461537
2013-06-15,0.26727500000000004
2013-06-16,0.20469444444444443
2013-06-17,0.17514545454545452
2013-06-18,0.42758
2013-06-19,0.5265216216216216
2013-06-20,0.23003243243243246
2013-06-21,0.40511111111111114
2013-06-22,0.5347875
2013-06-23,0.38397499999999996
2013-06-24,0.19240000000000002
2013-06-25,0.3111107142857143
2013-06-26,0.2875527272727273
2013-06-27,0.1763095238095238
2013-06-28,0.19658571428571428
2013-06-29,0.18947575757575758
2013-06-30,0.14621666666666666
2013-07-01,0.06967096774193549
2013-07-02,0.1935
2013-07-03,0.26857625
2013-07-04,0.21835
2013-07-05,0.23481923076923075
2013-07-06,0.3659608108108108
2013-07-07,0.512125
2013-07-08,0.4464910447761194
2013-07-09,0.24552727272727273
2013-07-10,0.31399285714285713
2013-07-11,0.46899545454545455
2013-07-12,0.39545
2013-07-13,0.37738
2013-07-14,0.37461739130434785
2013-07-15,0.1632586206896552
2013-07-16,0.4054056818181818
2013-07-17,0.4537444444444445
2013-07-18,0.17979242424242425
2013-07-19,0.3564127659574468
2013-07-20,0.6305166666666667
2013-07-21,0.48967083333333333
2013-07-22,0.49438333333333334
2013-07-23,0.15739433962264152
2013-07-24,0.08495882352941177
2013-07-25,0.20220833333333332
2013-07-26,-0.15046666666666667
2013-07-27,-0.017959999999999976
2013-07-28,0.3702375
2013-07-29,0.3965417910447761
2013-07-30,0.4025740740740741
2013-07-31,0.1921396551724138
2013-08-01,0.34825
2013-08-02,0.26189375
2013-08-03,0.0
2013-08-04,0.45659999999999995
2013-08-05,0.42446557377049177
2013-08-06,0.5004807692307692
2013-08-07,0.36909807692307695
2013-08-08,0.39301458333333333
2013-08-09,0.05930882352941177
2013-08-10,0.5205555555555557
2013-08-11,0.5631157894736841
2013-08-12,0.35221864406779657
2013-08-13,0.12963478260869565
2013-08-14,0.55726
2013-08-15,0.29990352941176474
2013-08-16,0.22094324324324321
2013-08-17,0.343
2013-08-18,0.3079068965517241
2013-08-19,0.3681529411764706
2013-08-20,-0.05742222222222223
2013-08-21,0.11238266666666666
2013-08-22,0.24444126984126985
2013-08-23,0.55543
2013-08-24,0.42664615384615384
2013-08-25,0.039117647058823535
2013-08-26,0.07918857142857143
2013-08-27,0.02455
2013-08-28,0.29766547619047623
2013-08-29,0.17642222222222223
2013-08-30,0.1707735294117647
2013-08-31,-0.0843
2013-09-01,0.18698333333333336
2013-09-02,0.08449444444444446
2013-09-03,0.20891111111111113
2013-09-04,0.18682380952380953
2013-09-05,0.10686266666666666
2013-09-06,-0.05070952380952381
2013-09-07,0.1101920634920635
2013-09-08,0.45521346153846154
2013-09-09,0.12824137931034485
2013-09-10,0.16981967213114754
2013-09-11,0.2051625
2013-09-12,0.10065952380952382
2013-09-13,0.42562
2013-09-14,0.7064947368421052
2013-09-15,0.4662710526315789
2013-09-16,0.4376083333333333
2013-09-17,0.3707
2013-09-18,0.4585108108108108
2013-09-19,0.21104444444444445
2013-09-20,0.2738785714285714
2013-09-21,0.5166851851851851
2013-09-22,0.4076909090909091
2013-09-23,0.2907135135135135
2013-09-24,0.2945258064516129
2013-09-25,0.394124
2013-09-26,0.49451538461538463
2013-09-27,0.25965319148936167
2013-09-28,0.3909692307692308
2013-09-29,0.5021846153846155
2013-09-30,0.34416969696969696
2013-10-01,0.24280000000000002
2013-10-02,0.12346923076923079
2013-10-03,0.055618
2013-10-04,0.24615
2013-10-05,0.7366
2013-10-06,0.85785
2013-10-07,0.19292972972972972
2013-10-08,0.18178285714285716
2013-10-09,0.23561212121212122
2013-10-10,0.14893076923076923
2013-10-11,0.39607272727272724
2013-10-12,0.24693333333333334
2013-10-13,0.7267888888888889
2013-10-14,0.4335652173913043
2013-10-15,0.41824666666666666
2013-10-16,0.45805862068965514
2013-10-17,0.41992641509433964
